FiberLength										
version=1										
nRows=4903										
nColumns=7										
inDegrees=no										
										
"This analysis gathers basic information about muscles during a simulation (e.g., forces, tendon lengths, moment arms, etc)."										
"Units are S.I. units (second, meters, Newtons, ...)"										
Angles are in degrees.										
										
endheader										
time	bifemlh_r	bifemsh_r	glut_max2_r	Vastus Intermedius	med_gas_r	tib_ant_r		Vastus Intermedius Optimal Fiber Length		
0.11172249	0.13736249	0.15088676	0.1521021	0.1484166	0.13533663	0.11518064	148	0.12617328		
0.11218442	0.13734472	0.1509342	0.15206977	0.14834654	0.13537477	0.11519378	149	0.12617328		
0.11231156	0.13733997	0.15094729	0.15206085	0.14832724	0.13538528	0.11519738	150	0.12617328		
0.11255681	0.13733131	0.15097259	0.15204361	0.14829004	0.13540557	0.11520431	151	0.12617328		
0.11291679	0.13731654	0.15100979	0.15201818	0.1482352	0.13543545	0.11521445	152	0.12617328		
0.11299695	0.13731383	0.1510181	0.15201251	0.14822303	0.1354421	0.1152167	153	0.12617328		
0.11314301	0.1373092	0.15103326	0.15200219	0.14820086	0.13545421	0.11522079	154	0.12617328		
0.11367586	0.13728907	0.15108867	0.15196431	0.14811965	0.13549861	0.11523567	155	0.12617328		
0.1138279	0.1372821	0.15110448	0.15195345	0.14809631	0.1355113	0.1152399	156	0.12617328		
0.11437154	0.13726444	0.15116144	0.15191454	0.14801353	0.13555676	0.11525494	157	0.12617328		
0.1144259	0.13726089	0.15116709	0.15191062	0.14800506	0.13556133	0.11525645	158	0.12617328		
0.1145409	0.13725429	0.15117908	0.15190233	0.14798723	0.13557098	0.11525962	159	0.12617328		
0.11478255	0.13724666	0.15120452	0.1518849	0.14795034	0.13559124	0.11526627	160	0.12617328		
0.11488222	0.13724181	0.15121497	0.1518777	0.14793496	0.13559961	0.115269	161	0.12617328		
0.11512747	0.13723374	0.15124086	0.15185998	0.1478975	0.13562025	0.1152757	162	0.12617328		
0.11544717	0.13721922	0.15127454	0.15183679	0.14784818	0.13564719	0.11528442	163	0.12617328		
0.1155169	0.13721729	0.15128194	0.15183171	0.14783754	0.13565307	0.11528631	164	0.12617328		
0.11563854	0.13721451	0.15129489	0.15182283	0.14781901	0.13566332	0.11528963	165	0.12617328		
0.11608129	0.13719543	0.15134179	0.15179053	0.1477507	0.13570077	0.1153016	166	0.12617328		
0.11626393	0.13718911	0.15136125	0.15177713	0.14772261	0.13571623	0.11530653	167	0.12617328		
0.11649948	0.13717996	0.15138635	0.15175986	0.14768632	0.13573622	0.11531286	168	0.12617328		
0.11686803	0.1371645	0.15142567	0.15173263	0.14762924	0.1357675	0.11532275	169	0.12617328		
0.11690525	0.13716318	0.15142966	0.1517299	0.14762352	0.13577067	0.11532374	170	0.12617328		
0.11704569	0.13715877	0.15144473	0.15171959	0.14760199	0.13578265	0.11532746	171	0.12617328		
0.11732411	0.1371468	0.15147455	0.15169892	0.14755876	0.13580635	0.11533488	172	0.12617328		
0.11742195	0.13714311	0.15148506	0.15169167	0.14754365	0.13581469	0.11533747	173	0.12617328		
0.11764301	0.13713423	0.15150883	0.15167524	0.14750941	0.13583359	0.11534333	174	0.12617328		
0.11797598	0.13712306	0.15154478	0.15165043	0.14745799	0.13586205	0.11535211	175	0.12617328		
0.11803222	0.13712043	0.15155083	0.15164621	0.14744921	0.13586687	0.11535359	176	0.12617328		
0.11815635	0.13711347	0.15156417	0.15163691	0.14742972	0.1358775	0.11535686	177	0.12617328		
0.11852952	0.13710014	0.15160461	0.15160894	0.14737192	0.13590951	0.11536663	178	0.12617328		
0.11865888	0.13709471	0.15161862	0.15159921	0.14735175	0.13592061	0.11537001	179	0.12617328		
0.11889461	0.13708418	0.15164418	0.15158151	0.14731502	0.13594091	0.11537613	180	0.12617328		
0.11925157	0.13707132	0.15168306	0.15155446	0.14725946	0.13597159	0.11538542	181	0.12617328		
0.11928727	0.13706963	0.15168695	0.15155177	0.14725389	0.13597468	0.11538633	182	0.12617328		
0.11942154	0.13706325	0.15170157	0.15154166	0.14723294	0.13598633	0.11538978	183	0.12617328		
0.11968095	0.13705389	0.15172994	0.15152191	0.1471925	0.13600869	0.11539649	184	0.12617328		
0.11976565	0.13705016	0.15173919	0.15151548	0.14717927	0.13601602	0.11539866	185	0.12617328		
0.11998083	0.13704096	0.15176274	0.1514991	0.14714561	0.13603464	0.11540417	186	0.12617328		
0.12030122	0.13702837	0.15179791	0.15147462	0.14709554	0.1360624	0.11541236	187	0.12617328		
0.12035115	0.13702609	0.15180339	0.15147079	0.1470877	0.13606673	0.11541364	188	0.12617328		
0.12047233	0.13702096	0.15181671	0.15146148	0.14706871	0.13607725	0.11541673	189	0.12617328		
0.12079769	0.13700814	0.15185254	0.15143656	0.14701779	0.1361055	0.11542497	190	0.12617328		
0.12091908	0.13700291	0.15186593	0.15142719	0.14699872	0.13611606	0.11542805	191	0.12617328		
0.12115507	0.13699389	0.15189203	0.15140899	0.14696178	0.13613663	0.11543401	192	0.12617328		
0.12157933	0.13697565	0.151939	0.15137613	0.14689504	0.13617364	0.11544469	193	0.12617328		
0.12162176	0.13697431	0.15194372	0.15137286	0.14688842	0.13617733	0.11544574	194	0.12617328		
0.12172739	0.13697065	0.15195545	0.15136471	0.14687189	0.13618655	0.11544837	195	0.12617328		
0.12191884	0.13696227	0.15197673	0.15134977	0.14684172	0.13620332	0.11545317	196	0.12617328		
0.12201105	0.1369586	0.15198699	0.1513426	0.14682722	0.13621138	0.11545547	197	0.12617328		
0.12224906	0.13694864	0.15201348	0.15132411	0.14678975	0.13623221	0.11546136	198	0.12617328		
0.12252804	0.13693692	0.15204464	0.1513022	0.14674571	0.13625669	0.1154683	199	0.12617328		
0.12258764	0.13693421	0.15205128	0.15129757	0.1467363	0.13626192	0.11546976	200	0.12617328		
0.12269807	0.13692972	0.15206361	0.15128899	0.14671892	0.13627161	0.11547246	201	0.12617328		
0.12305337	0.136915	0.15210343	0.15126102	0.14666281	0.13630286	0.11548122	202	0.12617328		
0.12318642	0.13690928	0.15211835	0.15125057	0.14664178	0.13631457	0.11548448	203	0.12617328		
0.12341756	0.13690117	0.15214438	0.1512323	0.14660539	0.13633495	0.11549014	204	0.12617328		
0.12383258	0.13688207	0.15219105	0.15119949	0.14653952	0.13637157	0.11550022	205	0.12617328		
0.12387408	0.13688071	0.15219575	0.15119619	0.14653299	0.13637524	0.11550123	206	0.12617328		
0.12399251	0.13687655	0.15220916	0.15118677	0.14651432	0.13638573	0.11550411	207	0.12617328		
0.12423	0.13686606	0.15223597	0.1511679	0.1464766	0.13640672	0.11550984	208	0.12617328		
0.12431456	0.13686277	0.15224555	0.15116116	0.14646322	0.13641422	0.11551188	209	0.12617328		
0.12452478	0.1368538	0.15226936	0.1511444	0.14642985	0.13643285	0.11551693	210	0.12617328		
0.12481247	0.13684191	0.15230204	0.15112136	0.14638419	0.13645841	0.11552384	211	0.12617328		
0.12486962	0.13683946	0.15230852	0.1511168	0.14637511	0.13646347	0.1155252	212	0.12617328		
0.12498176	0.13683462	0.15232124	0.15110786	0.14635726	0.1364734	0.11552786	213	0.12617328		
0.1253305	0.13682003	0.15236098	0.1510798	0.14630181	0.13650445	0.11553617	214	0.12617328		
0.12545973	0.13681452	0.15237572	0.1510694	0.14628123	0.13651595	0.11553923	215	0.12617328		
0.12568856	0.13680481	0.15240187	0.15105092	0.14624479	0.13653637	0.11554465	216	0.12617328		
0.12609497	0.13678739	0.15244838	0.15101803	0.14617996	0.13657264	0.11555421	217	0.12617328		
0.12629632	0.13677836	0.15247147	0.15100169	0.14614778	0.13659065	0.11555893	218	0.12617328		
0.12654825	0.13676911	0.15250048	0.15098122	0.14610772	0.13661321	0.1155648	219	0.12617328		
0.12662933	0.13676555	0.1525098	0.15097461	0.14609476	0.13662048	0.11556669	220	0.12617328		
0.12683615	0.13675524	0.15253357	0.1509577	0.1460615	0.13663901	0.11557151	221	0.12617328		
0.12713211	0.13674318	0.15256774	0.15093354	0.14601427	0.1366656	0.11557834	222	0.12617328		
0.12718594	0.13674083	0.15257396	0.15092913	0.14600563	0.13667042	0.11557959	223	0.12617328		
0.12729997	0.13673573	0.15258712	0.15091974	0.14598731	0.13668064	0.11558223	224	0.12617328		
